Error code			Parameter labels		Description						                                      Remarks
ACD_HEADER_PARITY_ERROR		[Cable]	  			AEM header parity error								 	      -
ACD_PHA_INCONSISTENCY		[Cable, Channel, Accept list]	Raised when there's a signal from a channel for which the accept bit is not set. 	      -
ACD_PHA_PARITY_ERROR		[Cable, Channel] 		AEM pha parity error. 	     	    	    	      	  	     	    		      -
GCCC_ERROR			[Tower, GCCC, Err]		GCCC error     									 	      -
GTCC_DATA_PARITY_ERROR		[Tower, GTCC, Err]		GTCC "data parity error" error.							 	      -
GTCC_ERROR			[Tower, GTCC, Err]		GTCC error.	  	 							 	      -
GTCC_FIFO_ERROR			[Tower, GTCC, Err]		GTCC "FIFO full error" error.							 	      Given the dimension of the GTCC FIFOs, a certain amount of FIFO full errors is expected.
GTCC_HEADER_PARITY_ERROR	[Tower, GTCC, Err]		GTCC "header parity error" error.						 	      -
GTCC_TIMEOUT_ERROR		[Tower, GTCC, Err]		GTCC "cable timeout error" error.						 	      -
GTCC_WORD_COUNT_PARITY_ERROR	[Tower, GTCC, Err]		GTCC "word count parity error" error.						 	      -
GTFE_PHASE_ERROR		[Tower, GTCC, GTRC, Err1, Err2, Err3, Err3 , Err4, Err5]       GTCC "GTFE phase error" error.			 	      -
GTRC_SUMMARY_ERROR		[Tower, GTCC, Err]  	  	GTCC "GTRC summary error" error.    	  	       				 	      -
GTRC_PHASE_ERROR		[Tower, GTCC, GTRC, Err]	GTCC "GTRC phase error" error.							 	      -
PACKET_ERROR			[-]	      	    		Packet error.	 								 	      -
PHASE_ERROR			[Tower, Err]			Cable phase error.								 	      -
TIMEOUT_ERROR			[Tower, Err]			Cable timeout error.								 	      -
TIMETONE_EARLY_EVENT		[-]				The event arrived very close (a few hundred microseconds) to the TimeTone.	 	      -
TIMETONE_FLYWHEELING		[-]				CPU failed to construct its TimeTone message.		     	 		 	      -
TIMETONE_INCOMPLETE		[timeSecs]			TimeTone is incomplete.	    	     						 	      -
TIMETONE_MISSING_CPUPPS		[-]				Arrival of the 1-PPS signal at the CPU timed out.				 	      -
TIMETONE_MISSING_LATPPS		[-]				Arrival of the 1-PPS signal at the LAT timed out.				 	      -
TIMETONE_MISSING_TIMETONE	[-]				1-PPS signal timed out.	       	       	     					 	      -
TIMETONE_NULL_SOURCE_GPS	[-]				The source of the GPS signal is the spacecraft local clock, instead of the GPS clock. 	      -
UNPHYSICAL_CAL_COL_ID		[Tower, Layer, Column]		Unphysical (i.e. not in 0--11) column id while reading a CAL log event contribution.  	      -
UNPHYSICAL_TOT_VALUE		[Tower, LayerEnd, TOT]		Unphysical (i.e. 251, 252, 253, 254) TOT  value while reading a TKR TOT event contribution.   -
UNPHYSICAL_TKR_LYR_ID		[Tower, LayerEnd] 		Unphysical (i.e. not in 0--71) layer-end id while reading a TKR strip/TOT event contribution. The layer-end is determined by the layer id (0--35) and the side (0--1) of the readout controller on the layer.
UNPHYSICAL_TKR_STRIP_ID		[Tower, LayerEnd, Hit]		Unphysical (i.e. not in 0--1535) strip id while reading a TKR strip event contribution.	      -
