 Date = 2010.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -85.000    0.000  -27.77  -71.03   12944   11452   -6032  -37659   39822
  -85.000    5.000  -32.21  -71.13   12903   10918   -6877  -37759   39903
  -85.000   10.000  -36.67  -71.26   12855   10311   -7677  -37882   40004
  -85.000   15.000  -41.17  -71.40   12800    9636   -8426  -38028   40124
  -85.000   20.000  -45.70  -71.56   12739    8896   -9118  -38194   40262
  -85.000   25.000  -50.28  -71.73   12670    8096   -9745  -38381   40418
  -85.000   30.000  -54.90  -71.93   12593    7241  -10303  -38587   40590
  -85.000   35.000  -59.57  -72.13   12509    6336  -10786  -38810   40776
  -85.000   40.000  -64.29  -72.36   12417    5388  -11188  -39049   40976
  -85.000   45.000  -69.05  -72.60   12318    4404  -11504  -39303   41188
  -85.000   50.000  -73.88  -72.85   12211    3391  -11731  -39569   41410
  -85.000   55.000  -78.76  -73.11   12096    2358  -11864  -39844   41640
  -85.000   60.000  -83.70  -73.38   11975    1313  -11903  -40128   41876
  -85.000   65.000  -88.71  -73.66   11847     266  -11844  -40416   42117
  -85.000   70.000  -93.79  -73.95   11713    -774  -11688  -40708   42360
  -85.000   75.000  -98.94  -74.23   11575   -1798  -11434  -41000   42602
  -85.000   80.000 -104.16  -74.52   11432   -2796  -11085  -41289   42843
  -85.000   85.000 -109.46  -74.81   11288   -3760  -10643  -41574   43079
  -85.000   90.000 -114.83  -75.09   11142   -4679  -10111  -41852   43309
  -85.000   95.000 -120.29  -75.37   10996   -5546   -9495  -42119   43531
  -85.000  100.000 -125.83  -75.63   10853   -6353   -8799  -42375   43743
  -85.000  105.000 -131.45  -75.89   10714   -7091   -8031  -42616   43942
  -85.000  110.000 -137.14  -76.13   10580   -7756   -7196  -42841   44129
  -85.000  115.000 -142.91  -76.35   10455   -8340   -6304  -43048   44300
  -85.000  120.000 -148.76  -76.55   10339   -8839   -5363  -43236   44455
  -85.000  125.000 -154.66  -76.73   10235   -9250   -4380  -43402   44592
  -85.000  130.000 -160.62  -76.89   10144   -9569   -3366  -43545   44711
  -85.000  135.000 -166.62  -77.02   10068   -9795   -2329  -43665   44811
  -85.000  140.000 -172.66  -77.12   10009   -9927   -1279  -43761   44891
  -85.000  145.000 -178.71  -77.19    9966   -9964    -224  -43832   44951
  -85.000  150.000  175.23  -77.23    9942   -9907     826  -43879   44991
  -85.000  155.000  169.19  -77.25    9935   -9759    1863  -43900   45010
  -85.000  160.000  163.17  -77.23    9947   -9521    2880  -43897   45010
  -85.000  165.000  157.20  -77.19    9977   -9197    3867  -43869   44989
  -85.000  170.000  151.27  -77.11   10024   -8790    4818  -43816   44949
  -85.000  175.000  145.42  -77.01   10088   -8306    5726  -43741   44889
  -85.000  180.000  139.64  -76.89   10167   -7747    6585  -43643   44811
  -85.000  185.000  133.94  -76.73   10261   -7120    7388  -43523   44716
  -85.000  190.000  128.33  -76.56   10366   -6430    8131  -43382   44604
  -85.000  195.000  122.82  -76.37   10483   -5682    8809  -43223   44476
  -85.000  200.000  117.41  -76.15   10609   -4883    9418  -43045   44333
  -85.000  205.000  112.09  -75.93   10742   -4039    9954  -42850   44176
