TileId	CableA	FREENAMEA	ChannelA	CableB	FREENAMEB	ChannelB	Tile/ribbon number	Type	Active area (cm^2))
200	2	2LA	5	3	2LB	12	0 	Crown tile 	1205.0
201	2	2LA	11	3	2LB	6	1 	Crown tile 	1205.0
202	4	2RA	3	5	2RB	14	2 	Crown tile 	1205.0
203	4	2RA	7	5	2RB	10	3 	Crown tile 	1205.0
204	4	2RA	12	5	2RB	5	4 	Crown tile 	1205.0
210	2	2LA	3	3	2LB	14	5 	Side row 2 tile 	726.0
211	2	2LA	10	3	2LB	7	6 	Side row 2 tile 	726.0
212	4	2RA	2	5	2RB	15	7 	Side row 2 tile 	726.0
213	4	2RA	8	5	2RB	9	8 	Side row 2 tile 	726.0
214	4	2RA	14	5	2RB	3	9 	Side row 2 tile 	726.0
220	2	2LA	2	3	2LB	15	10 	Side row 3 tile 	561.0
221	2	2LA	9	3	2LB	8	11 	Side row 3 tile 	561.0
222	4	2RA	0	5	2RB	17	12 	Side row 3 tile 	561.0
223	4	2RA	9	5	2RB	8	13 	Side row 3 tile 	561.0
224	4	2RA	15	5	2RB	2	14 	Side row 3 tile 	561.0
230	4	2RA	17	3	2LB	17	15 	Long tile 	2650.0
400	10	4RA	12	11	4RB	5	16 	Crown tile 	1205.0
401	10	4RA	7	11	4RB	10	17 	Crown tile 	1205.0
402	10	4RA	3	11	4RB	13	18 	Crown tile 	1205.0
403	8	4LA	12	9	4LB	5	19 	Crown tile 	1205.0
404	8	4LA	6	9	4LB	11	20 	Crown tile 	1205.0
410	10	4RA	14	11	4RB	3	21 	Side row 2 tile 	726.0
411	10	4RA	8	11	4RB	9	22 	Side row 2 tile 	726.0
412	10	4RA	2	11	4RB	15	23 	Side row 2 tile 	726.0
413	8	4LA	11	9	4LB	6	24 	Side row 2 tile 	726.0
414	8	4LA	5	9	4LB	12	25 	Side row 2 tile 	726.0
420	10	4RA	15	11	4RB	2	26 	Side row 3 tile 	561.0
421	10	4RA	9	11	4RB	8	27 	Side row 3 tile 	561.0
422	10	4RA	0	11	4RB	17	28 	Side row 3 tile 	561.0
423	8	4LA	10	9	4LB	7	29 	Side row 3 tile 	561.0
424	8	4LA	3	9	4LB	14	30 	Side row 3 tile 	561.0
430	10	4RA	17	9	4LB	17	31 	Long tile 	2650.0
100	2	2LA	1	1	1RB	3	32 	Crown tile 	1205.0
101	0	1LA	6	1	1RB	7	33 	Crown tile 	1205.0
102	0	1LA	9	1	1RB	8	34 	Crown tile 	1205.0
103	0	1LA	10	1	1RB	11	35 	Crown tile 	1205.0
104	0	1LA	14	11	4RB	1	36 	Crown tile 	1205.0
110	2	2LA	0	1	1RB	2	37 	Side row 2 tile 	726.0
111	0	1LA	5	1	1RB	6	38 	Side row 2 tile 	726.0
112	0	1LA	8	1	1RB	9	39 	Side row 2 tile 	726.0
113	0	1LA	11	1	1RB	12	40 	Side row 2 tile 	726.0
114	0	1LA	15	11	4RB	0	41 	Side row 2 tile 	726.0
120	0	1LA	0	1	1RB	1	42 	Side row 3 tile 	561.0
121	0	1LA	4	1	1RB	5	43 	Side row 3 tile 	561.0
122	0	1LA	7	1	1RB	10	44 	Side row 3 tile 	561.0
123	0	1LA	12	1	1RB	13	45 	Side row 3 tile 	561.0
124	0	1LA	16	1	1RB	17	46 	Side row 3 tile 	561.0
